F,prev,current,roots
19,abcbabcbcacbcacabacabcbabcbc,abcbabcbcacbcacabacabcbabcbcacbcaba,abcaba;abcabacabcacbcaba;abcabacabcbabcaba;abcabacabcbabcacbcaba;abcacbcaba;abcacbcabacabcacbcaba;abcacbcabacabcbabcaba;abcacbcabacabcbabcacbcaba;abcacbcabcbabcaba;abcacbcabcbabcacbcaba;abcbabcaba;abcbabcabacabcacbcaba;abcbabcabacabcbabcaba;abcbabcabacabcbabcacbcaba;abcbabcacbcaba;abcbabcacbcabacabcacbcaba;abcbabcacbcabacabcbabcaba;abcbabcacbcabacabcbabcacbcaba;abcbabcacbcabcbabcaba
20,abcbabcbcacbcabacbcabcbacbcabca,abcbabcbcacbcabacbcabcbacbcabcacbcb,abcabacb;abcabacbcabcbacb;abcabacbcabcbacbcacb;abcabacbcacb;abcacb;abcacbcabacb;abcacbcabacbcacb;abcacbcabcbacb;abcacbcabcbacbcacb;abcbabcabacb;abcbabcabacbcabcbacb;abcbabcabacbcabcbacbcacb;abcbabcabacbcacb;abcbabcacb;abcbabcacbcabacb;abcbabcacbcabacbcacb;abcbabcacbcabcbacb;abcbabcacbcabcbacbcacb;abcbacb;abcbacbcacb
21,abcbabcbcacbcacabacabcbabcbc,abcbabcbcacbcacabacabcbabcbcabacbcabab,abcab;abcabacab;abcabacabcbabcab;abcabacabcbabcabacbcab;abcabacbcab;abcacbcab;abcacbcabacab;abcacbcabacabcbabcab;abcacbcabacabcbabcabacbcab;abcacbcabcbabcab;abcacbcabcbabcabacbcab;abcbabcab;abcbabcabacab;abcbabcabacabcbabcab;abcbabcabacbcab;abcbabcacbcab;abcbabcacbcabacab;abcbabcacbcabacabcbabcab;abcbabcacbcabacabcbabcabacbcab;abcbabcacbcabcbabcab;abcbabcacbcabcbabcabacbcab
22,abcbabcbcacbcacabacabcbacabc,abcbabcbcacbcacabacabcbacabcacbcacab,abcab;abcabacab;abcabacabcacbcab;abcabacabcbacab;abcacbcab;abcacbcabacab;abcacbcabacabcacbcab;abcacbcabacabcbacab;abcacbcabcbacab;abcacbcabcbacabcacbcab;abcbabcab;abcbabcabacab;abcbabcabacabcacbcab;abcbabcabacabcbacab;abcbabcacbcab;abcbabcacbcabacab;abcbabcacbcabacabcacbcab;abcbabcacbcabacabcbacab;abcbabcacbcabcbacab;abcbabcacbcabcbacabcacbcab;abcbacab;abcbacabcacbcab
23,abcbabcbcacbcacabacabcb,abcbabcbcacbcacabacabcbabcbcacbca,abca;abcabacabca;abcabacabcacbca;abcabacabcbabca;abcabacabcbabcacbca;abcacbca;abcacbcabacabca;abcacbcabacabcacbca;abcacbcabacabcbabca;abcacbcabacabcbabcacbca;abcacbcabcbabca;abcacbcabcbabcacbca;abcbabca;abcbabcabacabca;abcbabcabacabcacbca;abcbabcabacabcbabca;abcbabcabacabcbabcacbca;abcbabcacbca;abcbabcacbcabacabca;abcbabcacbcabacabcacbca;abcbabcacbcabacabcbabca;abcbabcacbcabacabcbabcacbca;abcbabcacbcabcbabca
24,abcbabcbcacbcacabacabcbabcbc,abcbabcbcacbcacabacabcbabcbcacbcbabcba,abcabacabcacba;abcabacabcacbabcba;abcabacabcbabcacba;abcabacabcbabcacbabcba;abcacba;abcacbabcba;abcacbcabacabcacba;abcacbcabacabcacbabcba;abcacbcabacabcbabcacba;abcacbcabacabcbabcacbabcba;abcacbcabcbabcacba;abcacbcabcbabcacbabcba;abcbabcabacabcacba;abcbabcabacabcacbabcba;abcbabcabacabcbabcacba;abcbabcabacabcbabcacbabcba;abcbabcacba;abcbabcacbabcba;abcbabcacbcabacabcacba;abcbabcacbcabacabcacbabcba;abcbabcacbcabacabcbabcacba;abcbabcacbcabacabcbabcacbabcba;abcbabcacbcabcbabcacba;abcbabcacbcabcbabcacbabcba
25,abcbabcbcacbcacabacabcbacabcab,abcbabcbcacbcacabacabcbacabcabacbcabacac,abcabac;abcabacabcbac;abcabacabcbacabac;abcabacabcbacabacbcabac;abcacbcabac;abcacbcabacabcbac;abcacbcabacabcbacabac;abcacbcabacabcbacabacbcabac;abcacbcabcbac;abcacbcabcbacabac;abcacbcabcbacabacbcabac;abcbabcabac;abcbabcabacabcbac;abcbabcabacabcbacabac;abcbabcabacabcbacabacbcabac;abcbabcacbcabac;abcbabcacbcabacabcbac;abcbabcacbcabacabcbacabac;abcbabcacbcabacabcbacabacbcabac;abcbabcacbcabcbac;abcbabcacbcabcbacabac;abcbabcacbcabcbacabacbcabac;abcbac;abcbacabac;abcbacabacbcabac
26,abcbabcbcacbcabacbcabcbacbcabca,abcbabcbcacbcabacbcabcbacbcabcacbcbabcbca,abca;abcabacbabca;abcabacbca;abcabacbcabcbabca;abcabacbcabcbacbcacbabca;abcabacbcacbabca;abcacbabca;abcacbca;abcacbcabacbabca;abcacbcabacbca;abcacbcabacbcacbabca;abcacbcabcbabca;abcacbcabcbacbcacbabca;abcbabca;abcbabcabacbabca;abcbabcabacbca;abcbabcabacbcabcbabca;abcbabcabacbcabcbacbcacbabca;abcbabcabacbcacbabca;abcbabcacbca;abcbabcacbcabacbabca;abcbabcacbcabacbca;abcbabcacbcabacbcacbabca;abcbabcacbcabcbabca;abcbabcacbcabcbacbcacbabca;abcbacbcacbabca
9,abcbabcbcacbcacabacab,abcbabcbcacbcacabacabcbacabcac,abcabacabcac;abcac;abcacbcabacabcac;abcacbcabcbacabcac;abcbabcabacabcac;abcbabcac;abcbabcacbcabacabcac;abcbabcacbcabcbacabcac;abcbacabcac
27,abcbabcbcacbcacabacabcbacabcac,abcbabcbcacbcacabacabcbacabcacbcacabacab,abcab;abcabacab;abcabacabcacbcab;abcabacabcacbcabacab;abcabacabcbacab;abcacbcab;abcacbcabacab;abcacbcabacabcacbcab;abcacbcabacabcbacab;abcacbcabcbacab;abcacbcabcbacabcacbcab;abcacbcabcbacabcacbcabacab;abcbabcab;abcbabcabacab;abcbabcabacabcacbcab;abcbabcabacabcacbcabacab;abcbabcabacabcbacab;abcbabcacbcab;abcbabcacbcabacab;abcbabcacbcabacabcacbcab;abcbabcacbcabacabcbacab;abcbabcacbcabcbacab;abcbabcacbcabcbacabcacbcab;abcbabcacbcabcbacabcacbcabacab;abcbacab;abcbacabcacbcab;abcbacabcacbcabacab
